p;n;ca;cb;cc;dal;dap;daj;dbl;dbp;dbj;dcl;dcp;dcj;ddl;ddp;ddj;del;dep;dej;ss;st;stt
11/1106/110614/1106142007/1106142007001;ACEH - ACEH BESAR - LEMBAH SEULAWAH - LAM KUBU - TPS 001;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142002/1106142002001;ACEH - ACEH BESAR - LEMBAH SEULAWAH - LAMBARO TUNONG - TPS 001;126;17;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142002/1106142002002;ACEH - ACEH BESAR - LEMBAH SEULAWAH - LAMBARO TUNONG - TPS 002;133;23;1;99;84;183;89;77;166;0;0;0;0;0;0;89;77;166;157;9;166
11/1106/110614/1106142001/1106142001001;ACEH - ACEH BESAR - LEMBAH SEULAWAH - LAMTAMOT - TPS 001;194;26;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142001/1106142001002;ACEH - ACEH BESAR - LEMBAH SEULAWAH - LAMTAMOT - TPS 002;167;35;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142001/1106142001003;ACEH - ACEH BESAR - LEMBAH SEULAWAH - LAMTAMOT - TPS 003;169;34;3;112;133;245;91;113;204;0;0;0;2;3;5;93;116;209;206;3;209
11/1106/110614/1106142001/1106142001004;ACEH - ACEH BESAR - LEMBAH SEULAWAH - LAMTAMOT - TPS 004;172;42;2;116;143;259;98;123;221;0;0;0;0;0;0;98;123;221;216;5;221
11/1106/110614/1106142001/1106142001005;ACEH - ACEH BESAR - LEMBAH SEULAWAH - LAMTAMOT - TPS 005;167;34;1;125;134;259;92;112;204;0;0;0;2;1;3;94;113;207;202;5;207
11/1106/110614/1106142004/1106142004001;ACEH - ACEH BESAR - LEMBAH SEULAWAH - LON ASAN - TPS 001;168;20;1;112;127;239;86;108;194;0;0;0;0;0;0;86;108;194;189;5;194
11/1106/110614/1106142004/1106142004002;ACEH - ACEH BESAR - LEMBAH SEULAWAH - LON ASAN - TPS 002;152;33;4;116;122;238;93;105;198;0;0;0;0;0;0;93;105;198;189;9;198
11/1106/110614/1106142003/1106142003001;ACEH - ACEH BESAR - LEMBAH SEULAWAH - LONBAROH - TPS 001;142;4;2;88;78;166;76;71;147;2;0;2;0;0;0;78;71;149;148;1;149
11/1106/110614/1106142003/1106142003002;ACEH - ACEH BESAR - LEMBAH SEULAWAH - LONBAROH - TPS 002;134;12;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142006/1106142006001;ACEH - ACEH BESAR - LEMBAH SEULAWAH - PANCA - TPS 001;152;19;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142006/1106142006002;ACEH - ACEH BESAR - LEMBAH SEULAWAH - PANCA - TPS 002;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142008/1106142008001;ACEH - ACEH BESAR - LEMBAH SEULAWAH - PANCA KUBU - TPS 001;106;32;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142005/1106142005001;ACEH - ACEH BESAR - LEMBAH SEULAWAH - PAYA KEUREULEH - TPS 001;163;13;6;100;113;213;81;100;181;0;0;0;3;2;5;84;102;186;182;4;186
11/1106/110614/1106142005/1106142005002;ACEH - ACEH BESAR - LEMBAH SEULAWAH - PAYA KEUREULEH - TPS 002;153;39;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142011/1106142011001;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SAREE ACEH - TPS 001;160;36;5;135;132;267;106;101;207;3;0;3;0;0;0;109;101;210;201;9;210
11/1106/110614/1106142011/1106142011002;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SAREE ACEH - TPS 002;169;47;6;135;131;266;106;110;216;4;4;8;0;0;0;110;114;224;222;2;224
11/1106/110614/1106142011/1106142011003;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SAREE ACEH - TPS 003;169;35;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142011/1106142011004;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SAREE ACEH - TPS 004;171;39;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142011/1106142011005;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SAREE ACEH - TPS 005;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142011/1106142011006;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SAREE ACEH - TPS 006;176;27;0;128;125;253;97;105;202;0;0;0;1;3;4;98;108;206;203;3;206
11/1106/110614/1106142009/1106142009001;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SUKA DAMAI - TPS 001;162;63;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142009/1106142009002;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SUKA DAMAI - TPS 002;181;51;2;149;143;292;119;117;236;0;0;0;0;0;0;119;117;236;234;2;236
11/1106/110614/1106142009/1106142009003;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SUKA DAMAI - TPS 003;177;60;7;148;138;286;128;113;241;0;0;0;2;2;4;130;115;245;244;1;245
11/1106/110614/1106142009/1106142009004;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SUKA DAMAI - TPS 004;144;71;14;147;141;288;120;115;235;0;0;0;9;7;16;129;122;251;244;7;251
11/1106/110614/1106142009/1106142009005;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SUKA DAMAI - TPS 005;167;47;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142009/1106142009006;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SUKA DAMAI - TPS 006;166;54;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/1106/110614/1106142010/1106142010001;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SUKA MULYA - TPS 001;163;43;9;135;144;279;105;104;209;0;0;0;4;4;8;109;108;217;215;2;217
11/1106/110614/1106142010/1106142010002;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SUKA MULYA - TPS 002;192;54;6;138;158;296;103;140;243;0;0;0;8;1;9;111;141;252;252;0;252
11/1106/110614/1106142010/1106142010003;ACEH - ACEH BESAR - LEMBAH SEULAWAH - SUKA MULYA - TPS 003;165;47;5;144;141;285;103;109;212;0;0;0;4;4;8;107;113;220;217;3;220
11/1106/110614/1106142012/1106142012001;ACEH - ACEH BESAR - LEMBAH SEULAWAH - TEULADAN - TPS 001;158;58;1;124;134;258;100;114;214;2;2;4;0;0;0;102;116;218;217;1;218
11/1106/110614/1106142012/1106142012002;ACEH - ACEH BESAR - LEMBAH SEULAWAH - TEULADAN - TPS 002;153;57;3;132;134;266;105;110;215;1;1;2;2;1;3;108;112;220;213;7;220
11/1106/110614/1106142012/1106142012003;ACEH - ACEH BESAR - LEMBAH SEULAWAH - TEULADAN - TPS 003;169;45;0;136;129;265;112;104;216;0;0;0;2;0;2;114;104;218;214;4;218